,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,quality
fixed.acidity,1.0,0.21197635015866914,0.32973474882638465,-0.11459278903298488,0.29802256364910074,-0.28545815395423124,-0.333662188083073,0.4571782531204708,-0.25348729616042515,0.2983038885672076,-0.09619717157157187,-0.0773036682365616
volatile.acidity,0.21197635015866914,1.0,-0.3805071984782783,-0.19218072141552325,0.37868870181249437,-0.35101401704899954,-0.41433213886685916,0.2759891599529872,0.2720333818830149,0.22706522297072138,-0.041854328237914025,-0.26644879441174735
citric.acid,0.32973474882638465,-0.3805071984782783,1.0,0.13776125151203913,0.037266715434790786,0.13350835827254331,0.19762457119805638,0.09489410672815171,-0.33842342763647226,0.059982002194462765,-0.010692389547505798,0.08097703231765987
residual.sugar,-0.11459278903298488,-0.19218072141552325,0.13776125151203913,1.0,-0.12880541688214853,0.3987879569003928,0.4961181961537457,0.5521939046912766,-0.2634831378323789,-0.1840669897549026,-0.3615513984944475,-0.041976312964972465
chlorides,0.29802256364910074,0.37868870181249437,0.037266715434790786,-0.12880541688214853,1.0,-0.2033686019287784,-0.28423362820855885,0.36476841999993487,0.051869888623303044,0.4119778832044733,-0.25672595954692934,-0.20077802608164444
free.sulfur.dioxide,-0.28545815395423124,-0.35101401704899954,0.13350835827254331,0.3987879569003928,-0.2033686019287784,1.0,0.7232300381375442,0.01803685022946968,-0.14753114355958183,-0.193744670299669,-0.1756651774819891,0.056352933617803115
total.sulfur.dioxide,-0.333662188083073,-0.41433213886685916,0.19762457119805638,0.4961181961537457,-0.28423362820855885,0.7232300381375442,1.0,0.029238312680184456,-0.23280694373963595,-0.27381514689555814,-0.25887463039284103,-0.03796898514356591
density,0.4571782531204708,0.2759891599529872,0.09489410672815171,0.5521939046912766,0.36476841999993487,0.01803685022946968,0.029238312680184456,1.0,0.018088522021535675,0.26340165533366966,-0.6879851665186566,-0.31319298224967895
pH,-0.25348729616042515,0.2720333818830149,-0.33842342763647226,-0.2634831378323789,0.051869888623303044,-0.14753114355958183,-0.23280694373963595,0.018088522021535675,1.0,0.18650535206089738,0.11307346659307253,0.009870890851726438
sulphates,0.2983038885672076,0.22706522297072138,0.059982002194462765,-0.1840669897549026,0.4119778832044733,-0.193744670299669,-0.27381514689555814,0.26340165533366966,0.18650535206089738,1.0,-0.013821287247646905,0.03208256052617217
alcohol,-0.09619717157157187,-0.041854328237914025,-0.010692389547505798,-0.3615513984944475,-0.25672595954692934,-0.1756651774819891,-0.25887463039284103,-0.6879851665186566,0.11307346659307253,-0.013821287247646905,1.0,0.44668347764031985
quality,-0.0773036682365616,-0.26644879441174735,0.08097703231765987,-0.041976312964972465,-0.20077802608164444,0.056352933617803115,-0.03796898514356591,-0.31319298224967895,0.009870890851726438,0.03208256052617217,0.44668347764031985,1.0
